POP;GEONAME;state
39557045;California;06
21299325;Florida;12
10519475;Georgia;13
12741080;Illinois;17
6691878;Indiana;18
6902149;Massachusetts;25
9995915;Michigan;26
8908520;New Jersey;34
19542209;New York;36
10383620;North Carolina;37
11689442;Ohio;39
12807060;Pennsylvania;42
28701845;Texas;48
8517685;Virginia;51
7535591;Washington;53
